,municipality,latitude,longitude
0,Ilomantsi,62.83786175057543,30.99775706789931
1,Joensuu,62.59468009255339,29.78480979064734
2,Tuupovaara,62.46386478263028,30.723023120749875
3,Eno,62.82022293802606,30.275993217924718
4,Kiihtelysvaara,62.471996799064605,30.31965133380196
5,Kontiolahti,62.7857418363585,29.876254694603446
6,Liperi,62.541864224197575,29.385258195672055
7,Outokumpu,62.72164331039169,28.95649683129729
8,Polvijärvi,62.893540646881675,29.359396620188296
9,Pyhäselkä,62.464780557588234,29.95687089788226
10,Pornainen,60.48196546187848,25.361330276792373
11,Kesälahti,61.9347623659568,29.755385313053637
12,Rääkkylä,62.296290740531255,29.677848310015644
13,Kitee,62.07519372745418,30.008327613296835
14,Kangaslampi,62.26752910462938,28.343175369227474
15,Tohmajärvi,62.25734220102601,30.33372393681167
16,Värtsilä,62.24415404440726,30.64486494607273
17,Lemi,61.074870981463285,27.79802866594326
18,Juuka,63.207299960178055,29.184622256363397
19,Kemi,65.68058296807263,24.551412125377155
20,Lieksa,63.335307040541565,30.191156065618355
21,Nurmes,63.60785805321798,29.24474454285214
22,Karkkila,60.55747248733084,24.237438290705068
23,Valtimo,63.737414596529476,28.75963364910168
24,Karttula,62.851735945057946,27.157276058734176
25,Lohja,60.24474582585277,24.0622857176502
26,Kuopio,62.880095587068006,27.706646754212464
27,Merijärvi,64.30421924651763,24.511712404390025
28,Maaninka,63.150712943168614,27.223090912625235
29,Siilinjärvi,63.08134534183252,27.65747429315587
30,Oripää,60.87072684827213,22.68407997563127
31,Vehmersalmi,62.73811308824512,28.09127600531073
32,Juankoski,63.0952469346535,28.353106335548475
33,Kaavi,62.97080570328392,28.744558572147408
34,Nilsiä,63.2210502519381,28.087423376125255
35,Rautavaara,63.49061226726449,28.406891352655443
36,Reisjärvi,63.62162146426573,24.981474581312586
37,Tuusniemi,62.77671922256394,28.482308645993765
38,Lapinlahti,63.34852918429454,27.458201716586288
39,Ii,65.42665128946955,25.495029996242998
40,Iisalmi,63.52774260234826,27.156991682195354
41,Keitele,63.196920403855316,26.317983734498192
42,Kiuruvesi,63.68088427578548,26.53812860601673
43,Kiuruvesi,61.926522960440735,24.774555812023927
44,Kiuruvesi,63.68088427578548,26.53812860601673
45,Kiuruvesi,61.926522960440735,24.774555812023927
46,Varkaus,62.31983321572516,27.89210555686599
47,Kempele,64.8978120249354,25.56848188428697
48,Pielavesi,63.28667451999339,26.685793747716005
49,Kiiminki,65.12769193094148,25.81299305176823
50,Sonkajärvi,63.73758184493266,27.66554832291165
51,Varpaisjärvi,63.40477561488178,27.865251220988206
52,Vieremä,63.84308988457858,27.000446005439734
53,Vesanto,62.89942799459448,26.387585607643086
54,Leppävirta,62.5176197386013,27.928322475140153
55,Elimäki,60.733176485560364,26.515694058924137
56,Rautalampi,62.64315338698083,26.717721004975438
57,Sysmä,61.49794627192364,25.724351635492017
58,Suonenjoki,62.62001621598968,27.156333808694193
59,Tervo,62.9712072854422,26.81793802978969
60,Hartola,61.585922044839144,26.049778838956854
61,Pertunmaa,61.498855565630734,26.43625556491817
62,Heinola landskommun,61.262902714362546,26.140080187559562
63,Heinola,61.20027003167627,26.051350319363927
64,Jyväskylä,62.21343225778684,25.726910298107505
65,Joroinen,62.17289672180446,27.787972507113615
66,Ristiina,61.47842723298049,27.361130587110072
67,Juva,61.839742250678896,27.811364409618676
68,Ylivieska,64.06160320824034,24.64925576888308
69,Puumala,61.51039033613596,28.19724994982619
70,Haukivuori,62.055651031496424,27.131191266742423
71,Rantasalmi,62.059759833195166,28.29023989559935
72,Jäppilä,62.3904035585903,27.45417329658963
73,Sulkava,61.74606195928516,28.42527451219292
74,Anttola,61.59711654399569,27.702836894172975
75,Hirvensalmi,61.69344941146939,26.72505244633328
76,Virtasalmi,62.121197599371435,27.439232565192636
77,Kangasniemi,62.03335436318682,26.624140741261254
78,Kuusankoski,60.92717735686437,26.602011714981472
79,Mäntyharju,61.34775390093099,26.8752763603066
80,Mikkeli,61.694517277417695,27.282293558428425
81,S:t Michels landskommun,61.76663071545215,27.213885693459453
82,Yläne,60.85426254018287,22.396485233883777
83,Pieksämäen mlk,62.305492020238,27.04019890331899
84,Pieksämäki,62.304049633403665,27.155585967049955
85,Enonkoski,62.131340032971494,28.880799079469806
86,Kerimäki,61.969095758647,29.293634313693854
87,Heinävesi,62.4339605994208,28.722926582569166
88,Lapinjärvi,60.63753377512263,26.200627297469794
89,Punkaharju,61.710330837133895,29.30747907019026
90,Savonranta,62.23917352932743,29.181495467495363
91,Savonlinna,61.84853457339735,28.80665571475981
92,Kemijärvi,66.6873918971187,27.36146853286185
93,Toijala,61.16358598881564,23.886792970592992
94,Pelkosenniemi,67.14172851390359,27.46866163610034
95,Liljendal,60.573633087604435,26.065058531763288
96,Posio,66.15124247286546,28.04897734464332
97,Salla,66.99964912890984,28.917658588069997
98,Savukoski,67.63458821428551,28.536467495792277
99,Keminmaa,65.85957799501158,24.77402838554984
100,Simo,65.84565002329322,25.370950515016983
101,Tervola,66.13119518406415,25.091890045538793
102,Tornio,66.0539711417429,24.287819330687743
103,Inari,68.9389788924374,27.237820902212526
104,Sodankylä,67.7858249632385,26.915561309829005
105,Utsjoki,69.65907858640188,26.96053874718602
106,Loviisa,60.434014500159485,26.256723550694264
107,Ranua,65.98076275021948,26.618717150867994
108,Rovaniemen mlk,66.6402666833596,25.842417940087895
109,Rovaniemi,66.48978339261312,25.741388812781047
110,Pernaja,60.443541204800475,26.029841943509417
111,Pello,66.77895625045022,24.309037618644226
112,Askola,60.542807792304906,25.615382204549093
113,Borgaa lnadskommun (Porvoon maalais,60.371124018090725,25.68073075014611
114,Ylitornio,66.44879737909032,24.391670013189298
115,Enontekiö,68.65079416504423,22.870035986248926
116,Kittilä,67.81830743256978,25.03573817341162
117,Kolari,67.25055968969943,24.154411626421513
118,Myrskylä,60.64247895344892,25.844143537366037
119,Muonio,67.84016590076801,23.788461810360445
120,Porvoo,60.394675643273075,25.669996511944223
121,Kajaani,64.12152391075604,27.67519607698344
122,Pukkila,60.652347313683606,25.582721455496788
123,Paltamo,64.42347310589062,27.727166195726177
124,Ristijärvi,64.48410896499689,28.43135136975304
125,Sotkamo,64.0477999465982,28.44736016341097
126,Hamina,60.557527675811706,27.186876810276242
127,Vaala,64.51443340987645,26.897822445958493
128,Kotka,60.5487075087015,26.90131308876574
129,Hyvinkää,60.60906436940568,24.821183484499006
130,Vuolijoki,64.1551599595,27.07010134660574
131,Haapajärvi,63.772493097276055,25.380057302287074
132,Hyrynsalmi,64.65078373118811,28.69692580829865
133,Kärsämäki,63.96002741491652,25.861815020380632
134,Kuhmo,64.1807858520671,29.67435641857888
135,Puolanka,64.85617492305627,27.746289873991554
136,Suomussalmi,65.04613535710132,29.126877027935944
137,Kuusamo,65.96952290472112,29.278454372441622
138,Järvenpää,60.4799913664344,25.103003066897777
139,Taivalkoski,65.55978545123357,28.353167023775306
140,Kauniainen,60.21434214339841,24.71575360029373
141,Kerava,60.39870373764816,25.120407581603587
142,Kirkkonummi,60.135017579344535,24.460165650280462
143,Nivala,63.92538434141717,25.02780748229379
